"deputy_given_name" "deputy_family_name" "verdict" "months_of_imprisonment" "crime" "sentencing" "complaint_date" "procecution_start_date" "final_decision_date"
"Anghel" "Stanciu" "conviction" "6" "conflict of interest" "suspended" "30-12-2011" "1-11-2013" "24-11-2015"
"Florin-Costin" "Pâslaru" "conviction" "6" "conflict of interest" "suspended" "8-11-2011" "7-1-2014" "27-6-2016"
"Ioan" "Stan" "conviction" "24" "influence peddling" "imprisonment" "22-11-2012" "22-11-2012" "25-1-2016"
"Petru" "Movila" "nolle prosequi" "0" "instigating abuse of office" "discharge" "28-9-2012" "28-9-2012" "20-12-2012"
"Adrian" "Gurzau" "conviction" "32" "influence peddling" "suspended" "27-9-2016" "7-10-2016" "28-3-2017"
"Attila-Gabor" "Markó" "conviction" "36" "abuse of office" "suspended" "" "28-12-2010" "26-11-2014"
"Marian" "Neacsu" "conviction" "6" "conflict of interest" "suspended" "8-11-2011" "16-12-2013" "23-2-2016"
"Adrian-Miroslav" "Merka" "conviction" "18" "conflict of interest" "suspended" "11-11-2013" "2-6-2014" "21-1-2015"
"Alin Augustin Florin" "Popoviciu" "nolle prosequi" "0" "instigating abuse of office" "discharge" "19-5-2011" "30-5-2014" "6-11-2017"
"András-Levente" "Máté" "conviction" "6" "conflict of interest" "suspended" "19-9-2011" "18-9-2013" "10-2-2015"
"Catalin-Marian" "Radulescu" "conviction" "18" "bribery" "suspended" "3-3-2014" "18-04-2014" "5-12-2016"
"Cornel-Mircea" "Samartinean" "arraigned" "" "abuse of office, conflict of interest" "" "" "30-5-2014" ""
"Dumitru-Verginel" "Gireada" "conviction" "36" "abuse of office" "suspended" "" "7-5-2010" "5-4-2012"
"Florin Aurelian" "Popescu" "conviction" "24" "influence peddling" "imprisonment" "24-4-2013" "27-6-2014" "14-3-2016"
"George" "Becali" "conviction" "36" "complicity in the misuse of office" "imprisonment" "" "" "20-5-2013"
"Gheorghe" "Coman" "conviction" "12" "influence peddling" "imprisonment" "19-12-2013" "19-12-2013" "28-4-2014"
"Gheorghe" "Costin" "conviction" "32" "fraud" "suspended" "" "27-8-2013" "30-5-2016"
"Gheorghe" "Netoiu" "conviction" "40" "fraud" "imprisonment" "" "2-10-2008" "4-3-2014"
"Ghervazen" "Longher" "conviction" "3" "conflict of interest" "suspended" "16-11-2010" "18-9-2013" ""
"Grigore" "Craciunescu" "conviction" "22" "conflict of interest" "suspended" "" "17-10-2013" "28-3-2016"
"Hubert Petru Stefan" "Thuma" "conviction" "6" "influence peddling" "suspended" "" "20-3-2012" "14-10-2014"
"Ioan" "Oltean" "arraigned" "" "abetment in crime" "" "" "12-9-2013" ""
"Ion" "Dinita" "arraigned" "" "complicity in the misuse of office, bribery, money laundering" "" "" "6-10-2014" ""
"Károly" "Kerekes" "conviction" "18" "conflict of interest" "suspended" "27-9-2011" "24-1-2014" "9-2-2015"
"Mircea-Gheorghe" "Draghici" "arraigned" "" "complicity in the misuse of office" "" "" "4-3-2014" ""
"Mircia" "Muntean" "conviction" "48" "abuse of office" "suspended" "" "" "24-9-2013"
"Nicolae" "Vasilescu" "conviction" "24" "influence peddling" "imprisonment" "" "" "10-12-2013"
"Oana" "Niculescu-Mizil Stefanescu" "conviction" "12" "conflict of interest" "suspended" "19-9-2011" "" "24-10-2016"
"Ovidiu Ioan" "Silaghi" "nolle prosequi" "0" "influence peddling" "discharge" "" "12-9-2013" "9-3-2018"
"Relu" "Fenechiu" "conviction" "60" "complicity in the misuse of office" "imprisonment" "" "28-6-2012" "30-1-2014"
"Sebastian-Aurelian" "Ghita" "arraigned" "" "influence peddling, embezzlement, money laundering" "" "" "24-6-2015" ""
"Sonia-Maria" "Draghici" "conviction" "6" "conflict of interest" "suspended" "17-11-2010" "20-3-2013" "31-5-2016"
"Stefan-Bucur" "Stoica" "conviction" "0" "incompatibility" "" "29-12-2011" "" "11-3-2014"
"Vasile Ghiorghe" "Gliga" "conviction" "12" "conflict of interest" "suspended" "9-11-2011" "" "29-6-2015"
"Vlad-Alexandru" "Cosma" "arraigned" "60" "influence peddling" "" "" "12-2-2014" "26-3-2018"
"Theodor-Catalin" "Nicolescu" "arraigned" "112" "abuse of office" "imprisonment" "" "16-3-2015" ""
"Ioan" "Adam" "arraigned" "" "instigation to abuse of office, establishing an organized criminal group, buying influence" "imprisonment" "" "15-10-2014" "3-4-2018"
"Mircea" "Grosaru" "deceased" "0" "conflict of interest" "deceased" "11-11-2013" "" ""
"Niculae" "Mircovici" "conviction" "6" "conflict of interest" "suspended" "11-11-2013" "" "23-2-2015"
"Steluta-Gustica" "Cataniciu" "conviction" "0" "conflict of interest" "" "27-3-2013" "" "9-3-2017"
"Dorinel" "Ursarescu" "conviction" "12" "influence peddling" "suspended" "" "21-10-2014" "12-6-2017"
"Mircea" "Rosca" "conviction" "36" "influence peddling" "suspended" "" "17-2-2015" "22-2-2018"
"Danut" "Culetu" "arraigned" "" "abuse of office" "" "" "6-1-2015" ""
"Ion" "Ochi" "conviction" "70" "bribery, abuse of office" "" "" "23-6-2015" ""
"Nicolae-Liviu" "Dragnea" "conviction" "24" "influence peddling" "suspended" "" "27-9-2013" "22-4-2016"
