"deputy_given_name" "deputy_family_name" "party" "constituency"
"Luminita-Pachel" "Adam" "UNPR" "OLT"
"Costel" "Alexe" "PNL" "IASI"
"Florin-Alexandru" "Alexe" "PNL" "BUCURESTI"
"Marin" "Almajanu" "PNL" "TELEORMAN"
"Varol" "Amet" "Minoritati" ""
"Roberta Alma" "Anastase" "PNL" "PRAHOVA"
"Petru" "Andea" "PSD" "TIMIS"
"Gabriel" "Andronache" "PNL" "BRASOV"
"Gabriela-Lola" "Anghel" "PNL" "PRAHOVA"
"István" "Antal" "UDMR" "HARGHITA"
"Marin" "Anton" "PNL" "GIURGIU"
"Roxana-Florentina" "Anusca" "PNL" "BOTOSANI"
"Sanda-Maria" "Ardeleanu" "PNL" "SUCEAVA"
"Constantin" "Avram" "ALDE" "BACAU"
"Marian" "Avram" "PSD" "TULCEA"
"Ioan" "Axente" "neafiliat" "SIBIU"
"Radu" "Babus" "PSD" "CONSTANTA"
"Ioan" "Balan" "PNL" "SUCEAVA"
"Mihai" "Balta" "PSD" "BOTOSANI"
"Stefan-Alexandru" "Baisanu" "ALDE" "SUCEAVA"
"Ion" "Balan" "PSD" "TULCEA"
"Nicolae" "Banicioiu" "PSD" "BUCURESTI"
"Daniel-Ionut" "Barbulescu" "PSD" "OLT"
"Eugen" "Bejinariu" "PSD" "SUCEAVA"
"Ioan" "Benga" "PSD" "CARAS-SEVERIN"
"Vasile" "Berci" "PNL" "MARAMURES"
"Ana" "Birchall" "PSD" "VASLUI"
"Florica" "Bîrsasteanu" "PSD" "TIMIS"
"Valentin" "Blanariu" "PSD" "CARAS-SEVERIN"
"Valentin Gabriel" "Boboc" "PSD" "TELEORMAN"
"Lucian Nicolae" "Bode" "PNL" "SALAJ"
"Gheorghe-Danut" "Bogdan" "PSD" "BIHOR"
"Camelia-Margareta" "Bogdanici" "UNPR" "IASI"
"István" "Bónis" "UDMR" "MARAMURES"
"László" "Borbély" "UDMR" "MURES"
"Dan" "Bordeianu" "PSD" "VASLUI"
"Constantin-Alin" "Bucur" "ALDE" "TELEORMAN"
"Simona" "Bucura-Oprescu" "PSD" "ARGES"
"Daniel-Stamate" "Budurescu" "ALDE" "BUCURESTI"
"Cristian" "Buican" "PNL" "VÂLCEA"
"Corneliu-Florin" "Buicu" "PSD" "MURES"
"Stefan" "Burlacu" "UNPR" "ILFOV"
"Mihaita" "Calimente" "ALDE" "ARAD"
"Mario-Ernest" "Caloianu" "UNPR" "IALOMITA"
"Florica Ica" "Calota" "ALDE" "TELEORMAN"
"Costica" "Canacheu" "PNL" "BUCURESTI"
"Mircea-Vasile" "Cazan" "PNL" "SIBIU"
"Ion" "Calin" "PSD" "DOLJ"
"Dorel-Gheorghe" "Caprar" "PSD" "ARAD"
"Steluta-Gustica" "Cataniciu" "ALDE" "CLUJ"
"Remus-Florinel" "Cernea" "neafiliat" "CONSTANTA"
